分類,名稱,份量,熱量
正餐,肉鬆飯糰,1個,208
正餐,火腿手捲,1個,297
正餐,火腿沙拉三明治,1個,210
正餐,鮪魚飯糰,1個,222
正餐,鮪魚手捲,1個,337
正餐,千層鮪魚三明治,1個,320
正餐,饅頭,1個,280
正餐,鮮肉包,1個,210
正餐,茶葉蛋,1個,75
正餐,熱狗,1根,245
正餐,燒餅油條,1份,415
正餐,水餃,10個,535
正餐,蚵仔麵線,1碗,220
正餐,雞腳,3隻,115
正餐,油條,1個,230
正餐,小籠包,5個,500
正餐,叉燒包,1個,225
正餐,菜包,1個,200
正餐,熱狗大亨堡,1份,450
正餐,蛋餅,1個,255
正餐,煎蘿蔔糕,1個,180
正餐,米粉湯,1碗,185
正餐,花生豬血糕,1個,115
正餐,糯米腸,80克/1個,150
正餐,鍋貼,10個,567
正餐,紅燒臭豆腐,2塊,380
乳製品,全脂牛奶,240毫升,150
乳製品,低脂牛奶,240毫升,120
乳製品,脫脂牛奶,240毫升,80
乳製品,養樂多,1瓶,100
乳製品,優酪乳,1瓶/200毫升,120
飲料,蕃茄汁,350ml/瓶,64
飲料,柳橙原汁,236ml/瓶,110
飲料,雪碧,350ml /1罐,147
飲料,蘋果西打,350ml /1罐,147
飲料,低糖烏龍茶,350ml /1罐,52
飲料,低糖麥子茶,350ml /1罐,50
飲料,寶礦力,350ml /1罐,91
飲料,可口可樂,350ml /1罐,178
飲料,健怡可口可樂,350ml /1罐,3.5
飲料,百事可樂,350ml /1罐,161
飲料,黑松沙士,350ml /1罐,126
飲料,無糖烏龍茶,350ml /1罐,0
飲料,統一純喫茶（綠茶）,350ml /1罐,100
水果,蓮霧,2-3顆,60
水果,香蕉（小）,1根,90
水果,楊桃（小）,1個,60
水果,草莓,8-10顆,100
水果,橘子,1顆,60
水果,棗子（中）,2顆,60
水果,油桃,1顆,60
水果,奇異果（中）,1顆,60
水果,葡萄,12-15顆,120
水果,葡萄柚（中）,半顆,75
水果,櫻桃,12-15顆,100
水果,小蕃茄,10顆,60
水果,蘋果（小）,1顆,60
